ID,Type,Sigma,SMILES
B53,m,0.53,NS(=O)(=O)c1cccc(C(=O)O)c1
B445,m,-0.04,CN(C)[Si](c1cccc(C(=O)O)c1)(N(C)C)N(C)C
B240,m,0.03,CP(C)c1cccc(C(=O)O)c1
B321,m,0.51,O=C(O)c1cccc(C(SC(F)(F)F)(SC(F)(F)F)SC(F)(F)F)c1
B259,m,0.46,O=C(O)c1cccc([Te]C(F)(F)C(F)(F)C(F)(F)F)c1
B424,m,0.62,O=C(O)c1cccc(S(=O)(=O)c2ccccc2)c1
B340,m,0.47,O=C(O)c1cccc(-n2cccc2)c1
B303,m,0.13,C[Si](C)(C)Oc1cccc(C(=O)O)c1
B160,m,0.63,O=C(O)c1cccc(C(=O)C(F)(F)F)c1
B410,m,0.13,O=C(O)c1cccc(-c2cccc(I)c2)c1
B442,m,0.99,CC[P+](CC)(CC)c1cccc(C(=O)O)c1
B353,m,0.1,CCCCOc1cccc(C(=O)O)c1
B511,m,0.17,O=C(O)c1cccc(-c2nc3ccccc3n2-c2ccccc2)c1
B294,m,0.1,CCCOc1cccc(C(=O)O)c1
B433,m,-0.05,O=C(O)c1cccc(C2CCCCC2)c1
B139,m,-0.03,NC(=O)Nc1cccc(C(=O)O)c1
B270,m,-0.07,O=C(O)c1cccc(C2CC2)c1
B102,m,0.38,O=C(O)c1cccc(OC(Cl)Cl)c1
B471,m,-0.07,COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1
B241,m,1,C[S+](C)c1cccc(C(=O)O)c1
B49,m,0.25,O=C(O)c1cccc(S)c1
B131,m,0.59,NC(=O)N=[N+]([O-])c1cccc(C(=O)O)c1
B71,m,0.29,O=C(O)c1cccc([Hg]C(F)(F)F)c1
B418,m,0.69,O=C(O)c1cccc(/[N+]([O-])=N/S(=O)(=O)c2ccccc2)c1
B12,m,0.7,O=C(O)c1cccc(P(=S)(Cl)Cl)c1
B308,m,0,C[Sn](C)(C)c1cccc(C(=O)O)c1
B47,m,0.2,O=C(O)c1cccc(P(=O)([O-])O)c1
B331,m,0.6,CC(C#N)(C#N)c1cccc(C(=O)O)c1
B521,m,0.2,Cc1ccc(P(=S)(c2ccc(C)cc2)c2cccc(C(=O)O)c2)cc1
B434,m,-0.26,CCCN(CCC)c1cccc(C(=O)O)c1
B177,m,0.3,O=C(O)c1cccc(NC(=O)C(F)(F)F)c1
B129,m,0.22,O=C(O)c1cccc(/C=N/O)c1
B26,m,0.63,O=C(O)c1cccc(P(F)(F)(F)F)c1
B93,m,0.51,N#CSc1cccc(C(=O)O)c1
B253,m,0.44,O=C(O)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1
B391,m,0.12,CCOP(=O)(Cc1cccc(C(=O)O)c1)OCC
B200,m,0.38,CC(=O)c1cccc(C(=O)O)c1
B219,m,-0.07,CCc1cccc(C(=O)O)c1
B514,m,0.13,Cc1ccc(P(=O)(c2ccccc2)c2cccc(C(=O)O)c2)cc1
B97,m,0.72,O=C(O)c1cccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1
B40,m,0.3,O=C(O)c1cccc(S(=O)(=O)[O-])c1
B465,m,0.34,O=C(O)c1cccc(C(F)(F)C(F)(F)c2ccc(F)cc2)c1
B449,m,0.21,O=C(O)c1cccc(OC(=O)c2ccccc2)c1
B183,m,0.31,O=C(O)c1cccc(S/C=C/Cl)c1
B162,m,0.56,O=C(O)c1cccc(OC(=O)C(F)(F)F)c1
B420,m,0.25,O=C(O)c1cccc(Oc2ccccc2)c1
B358,m,0.52,CC[As](=S)(CC)c1cccc(C(=O)O)c1
B300,m,0.88,C[N+](C)(C)c1cccc(C(=O)O)c1
B327,m,0.33,O=C(O)c1cccc(N2C(=O)C=CC2=O)c1
B8,m,0.44,O=C(O)c1cccc(SCl)c1
B412,m,0.21,O=C(O)c1cccc(-c2cccc([N+](=O)[O-])c2)c1
B142,m,0.12,COc1cccc(C(=O)O)c1
B467,m,0.39,O=C(O)c1cccc(/C=N/C(=O)c2ccccc2)c1
B324,m,0.36,O=C(O)c1cccc(C2(O)C(F)(F)C(F)(F)C2(F)F)c1
B370,m,0.3,CN(C)P(=O)(c1cccc(C(=O)O)c1)N(C)C
B435,m,-0.08,CN(C)CCCCc1cccc(C(=O)O)c1
B402,m,0.26,O=C(O)c1cccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c1
B214,m,0.06,NC(=O)Cc1cccc(C(=O)O)c1
B522,m,1.09,Cc1ccc([P+](C)(c2ccccc2)c2cccc(C(=O)O)c2)cc1
B181,m,0.63,O=C(O)c1cccc(-n2nnnc2SS2=NN=NN2)c1
B526,m,-0.33,O=C(O)c1cccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)c1
B438,m,0.38,CCCOP(=O)(OCCC)c1cccc(C(=O)O)c1
B21,m,0.49,O=C(O)c1cccc(P(F)F)c1
B274,m,0.56,CCC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-]
B408,m,0.12,O=C(O)c1cccc(-c2ccc(F)cc2)c1
B307,m,-0.04,C[Si](C)(C)c1cccc(C(=O)O)c1
B238,m,0.43,CP(C)(=O)c1cccc(C(=O)O)c1
B128,m,0.25,NC(=S)c1cccc(C(=O)O)c1
B455,m,0.06,Cc1ccc(-c2cccc(C(=O)O)c2)cc1
B344,m,0.35,CC(=O)N(C(C)=O)c1cccc(C(=O)O)c1
B226,m,0.38,CN(C)P(Cl)c1cccc(C(=O)O)c1
B70,m,0.43,O=C(O)c1cccc(C(F)(F)F)c1
B306,m,0.74,C[P+](C)(C)c1cccc(C(=O)O)c1
B235,m,0.12,CN(C)Sc1cccc(C(=O)O)c1
B283,m,0.31,CC(=O)N(C)c1cccc(C(=O)O)c1
B337,m,0.03,O=C(O)c1cccc(-c2ccsc2)c1
B156,m,0.2,CS(=O)(=O)Nc1cccc(C(=O)O)c1
B197,m,0.54,CC(c1cccc(C(=O)O)c1)([N+](=O)[O-])[N+](=O)[O-]
B221,m,0.1,CCOc1cccc(C(=O)O)c1
B367,m,0.24,C[NH+](C)CCc1cccc(C(=O)O)c1
B150,m,0.39,CS(=O)(=O)Oc1cccc(C(=O)O)c1
B357,m,0.57,CC[As](=O)(CC)c1cccc(C(=O)O)c1
B343,m,0.85,CC(=O)OI(OC(C)=O)c1cccc(C(=O)O)c1
B107,m,0.33,O=C(O)c1cccc(SC(F)F)c1
B519,m,0.36,O=C(O)c1cccc(C(=O)OC(c2ccccc2)c2ccccc2)c1
B135,m,0.31,C[Si](Cl)(Cl)c1cccc(C(=O)O)c1
B154,m,-0.21,CNc1cccc(C(=O)O)c1
B242,m,1.06,Cc1ccc(S(=O)(=O)S(C)(C)c2cccc(C(=O)O)c2)cc1
B378,m,0.33,O=C(O)c1cccc(-c2ccccn2)c1
B92,m,0.48,O=C(O)c1cccc(N=C=S)c1
B256,m,0.92,O=C(O)c1cccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)c1
B472,m,0.09,COc1ccc(C(=O)Nc2cccc(C(=O)O)c2)cc1
B389,m,-0.08,CCCCCc1cccc(C(=O)O)c1
B444,m,1.24,O=C(O)c1cccc(P(=NS(=O)(=O)C(F)(F)F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)c1
B527,m,-0.03,O=C(O)c1cccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)c1
B525,m,0.65,Cc1cc(-c2ccccc2)cc(-c2ccccc2)[n+]1-c1cccc(C(=O)O)c1
B206,m,0.26,C=C[Se]c1cccc(C(=O)O)c1
B10,m,0.78,O=C(O)c1cccc(P(=O)(Cl)Cl)c1
B361,m,0.37,CCP(=O)(CC)c1cccc(C(=O)O)c1
B468,m,0.03,O=C(O)c1cccc(C=Cc2ccccc2)c1
B124,m,0.23,O=C(O)c1cccc(SCF)c1
B204,m,0.04,O=C(O)c1cccc(C2CS2)c1
B231,m,-0.16,CN(C)c1cccc(C(=O)O)c1
B20,m,0.81,O=C(O)c1cccc(P(=O)(F)F)c1
B168,m,0.44,O=C(O)c1cccc(SC(F)(F)C(F)(F)F)c1
B266,m,0.24,N#C/C=C/c1cccc(C(=O)O)c1
B118,m,0.37,O=C(O)c1cccc(C(=O)O)c1
B46,m,-0.04,O=C(O)c1cccc(S(=O)O)c1
B236,m,-0.05,CN(C)/N=N\c1cccc(C(=O)O)c1
B111,m,0.21,N#CNc1cccc(C(=O)O)c1
B176,m,0.35,O=C(O)c1cccc(OC(F)(F)C(F)Cl)c1
B395,m,0.25,O=C(O)c1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
B63,m,0.6,O=C(O)c1cccc(-n2nnnc2Cl)c1
B80,m,0.56,O=C(O)c1cccc(OS(=O)(=O)C(F)(F)F)c1
B94,m,0.61,N#C[Se]c1cccc(C(=O)O)c1
B179,m,0.34,O=C(O)c1cccc(OC(F)(F)C(F)F)c1
B189,m,0.16,N#CCc1cccc(C(=O)O)c1
B430,m,0.09,CCc1ccc(-c2cccc(C(=O)O)c2)o1
B423,m,0.38,CC1=CC=CC(c2cccc(C(=O)O)c2)O1
B17,m,0.74,O=C(O)c1cccc(S(=O)F)c1
B41,m,-0.36,O=C(O)c1cccc([S-])c1
B447,m,0.27,O=C(O)c1cccc(-c2nc3ccccc3s2)c1
B441,m,0.02,CCO[Si](OCC)(OCC)c1cccc(C(=O)O)c1
