ID,Type,Sigma,SMILES
A71,p,0.32,O=C(O)c1ccc([Hg]C(F)(F)F)cc1
A189,p,0.18,N#CCc1ccc(C(=O)O)cc1
A169,p,0.53,O=C(O)c1ccc(N(C(F)(F)F)C(F)(F)F)cc1
A432,p,-0.08,O=C(O)c1ccc(C2=CCCCC2)cc1
A33,p,0.7,O=C(O)c1ccc(O[N+](=O)[O-])cc1
A154,p,-0.7,CNc1ccc(C(=O)O)cc1
A124,p,0.2,O=C(O)c1ccc(SCF)cc1
A301,p,0.43,C[NH+](C)Cc1ccc(C(=O)O)cc1
A76,p,0.69,O=C(O)c1ccc(S(=O)C(F)(F)F)cc1
A201,p,0.44,CC(=O)Sc1ccc(C(=O)O)cc1
A199,p,-0.09,C=COc1ccc(C(=O)O)cc1
A233,p,0.65,CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1
A408,p,0.06,O=C(O)c1ccc(-c2ccc(F)cc2)cc1
A198,p,0.03,O=C(O)c1ccc(C2CO2)cc1
A231,p,-0.83,CN(C)c1ccc(C(=O)O)cc1
A229,p,0.17,C[Si](C)(F)c1ccc(C(=O)O)cc1
A214,p,0.07,NC(=O)Cc1ccc(C(=O)O)cc1
A328,p,0.46,O=C(O)c1ccc(N2C(=O)CC(Cl)C2=O)cc1
A352,p,-0.16,CCCCc1ccc(C(=O)O)cc1
A123,p,0.02,O=C(O)c1ccc(OCF)cc1
A193,p,-0.04,C=Cc1ccc(C(=O)O)cc1
A133,p,-0.17,Cc1ccc(C(=O)O)cc1
A441,p,0.08,CCO[Si](OCC)(OCC)c1ccc(C(=O)O)cc1
A260,p,0.3,O=C(O)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
A223,p,0.01,COCc1ccc(C(=O)O)cc1
A354,p,-0.17,CC(C)(O)Cc1ccc(C(=O)O)cc1
A516,p,0.3,Cc1ccc(P(=S)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1
A425,p,0.33,O=C(O)c1ccc(OS(=O)(=O)c2ccccc2)cc1
A474,p,-0.02,CCc1ccc(-c2ccc(C(=O)O)cc2)cc1
A56,p,-0.44,O=C(O)c1ccc([B-](O)(O)O)cc1
A100,p,0.32,O=C(O)c1ccc(C(Br)Br)cc1
A452,p,0.42,O=C(O)c1ccc(/C=N/c2ccccc2)cc1
A523,p,1.18,Cc1ccc([P+](C)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1
A520,p,0.3,Cc1ccc(P(=O)(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1
A412,p,0.2,O=C(O)c1ccc(-c2cccc([N+](=O)[O-])c2)cc1
A314,p,1.34,O=C(O)c1ccc(I(OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)cc1
A427,p,-0.56,O=C(O)c1ccc(Nc2ccccc2)cc1
A436,p,0.41,CC(C)P(=O)(c1ccc(C(=O)O)cc1)C(C)C
A142,p,-0.27,COc1ccc(C(=O)O)cc1
A434,p,-0.93,CCCN(CCC)c1ccc(C(=O)O)cc1
A307,p,-0.07,C[Si](C)(C)c1ccc(C(=O)O)cc1
A377,p,-0.05,O=Cc1ccc(-c2ccc(C(=O)O)cc2)o1
A359,p,-0.51,CCCCNc1ccc(C(=O)O)cc1
A209,p,0.12,CN1OC1c1ccc(C(=O)O)cc1
A278,p,0.05,CC(=O)OCc1ccc(C(=O)O)cc1
A97,p,0.82,O=C(O)c1ccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])cc1
A38,p,-0.81,O=C(O)c1ccc([O-])cc1
A512,p,-0.05,O=C(O)c1ccc(C(c2ccccc2)c2ccccc2)cc1
A17,p,0.83,O=C(O)c1ccc(S(=O)F)cc1
A261,p,0.44,O=C(O)c1ccc(C(SC(F)(F)F)SC(F)(F)F)cc1
A66,p,0.46,O=C(O)c1ccc(C(Cl)(Cl)Cl)cc1
A302,p,-0.02,CO[Si](C)(C)c1ccc(C(=O)O)cc1
A446,p,0.33,O=C(O)c1ccc(-c2nc3ccccc3o2)cc1
A244,p,0.04,C[SiH](C)c1ccc(C(=O)O)cc1
A263,p,0.17,O=C(O)c1ccc(/C=C\C(F)(F)F)cc1
A51,p,-0.66,Nc1ccc(C(=O)O)cc1
A167,p,1.08,O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)F)cc1
A219,p,-0.15,CCc1ccc(C(=O)O)cc1
A211,p,0,CC(=O)Nc1ccc(C(=O)O)cc1
A296,p,-0.14,CC(C)(OO)c1ccc(C(=O)O)cc1
A464,p,-0.01,C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1
A293,p,-0.45,CC(C)Oc1ccc(C(=O)O)cc1
A74,p,0.68,O=C(O)c1ccc(N=NC(F)(F)F)cc1
A265,p,0.55,O=C(O)c1ccc(/C=C/S(=O)(=O)C(F)(F)F)cc1
A46,p,-0.07,O=C(O)c1ccc(S(=O)O)cc1
A128,p,0.3,NC(=S)c1ccc(C(=O)O)cc1
A50,p,0.12,O=C(O)c1ccc(B(O)O)cc1
A252,p,0.23,O=C(O)c1ccc(N=C(C(F)(F)F)C(F)(F)F)cc1
A36,p,-0.43,O=C(O)c1ccc(N=[N+]([O-])[O-])cc1
A34,p,1.91,N#[N+]c1ccc(C(=O)O)cc1
A180,p,0.47,O=C(O)c1ccc(SC(F)(F)C(F)F)cc1
A221,p,-0.24,CCOc1ccc(C(=O)O)cc1
A60,p,0.1,O=C(O)c1ccc([SiH3])cc1
A460,p,0.07,O=C(O)c1ccc(COc2ccccc2)cc1
A380,p,0.44,O=C(O)c1ccc(-c2ccncc2)cc1
A27,p,0.68,O=C(O)c1ccc(S(F)(F)(F)(F)F)cc1
A10,p,0.9,O=C(O)c1ccc(P(=O)(Cl)Cl)cc1
A274,p,0.64,CCC(c1ccc(C(=O)O)cc1)([N+](=O)[O-])[N+](=O)[O-]
A109,p,0.39,O=C(O)c1ccc(NS(=O)(=O)C(F)(F)F)cc1
A393,p,-0.17,C[Si](C)(C)CCc1ccc(C(=O)O)cc1
A395,p,0.24,O=C(O)c1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1
A490,p,0.05,O=C(O)c1ccc(/C=C/C(=O)c2ccccc2)cc1
A254,p,0.53,O=C(O)c1ccc(C(F)(C(F)(F)F)C(F)(F)F)cc1
A240,p,0.06,CP(C)c1ccc(C(=O)O)cc1
A421,p,0.44,O=C(O)c1ccc(S(=O)c2ccccc2)cc1
A526,p,-0.77,O=C(O)c1ccc(N=P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
A89,p,0.19,O=C=Nc1ccc(C(=O)O)cc1
A161,p,0.46,O=C(O)c1ccc(SC(=O)C(F)(F)F)cc1
A1,p,0.48,O=C(O)c1ccc(B(F)F)cc1
A264,p,0.27,O=C(O)c1ccc(/C=C/C(F)(F)F)cc1
A303,p,-0.27,C[Si](C)(C)Oc1ccc(C(=O)O)cc1
A238,p,0.5,CP(C)(=O)c1ccc(C(=O)O)cc1
A492,p,-0.01,C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)c1ccc(C(=O)O)cc1
A481,p,0.49,CCCCP(=O)(CCCC)c1ccc(C(=O)O)cc1
A272,p,-0.09,C/C=C/c1ccc(C(=O)O)cc1
A501,p,0.09,O=C(O)c1ccc([As](c2ccccc2)c2ccccc2)cc1
A271,p,0.05,C=C(C)c1ccc(C(=O)O)cc1
A324,p,0.37,O=C(O)c1ccc(C2(O)C(F)(F)C(F)(F)C2(F)F)cc1
A514,p,0.3,Cc1ccc(P(=O)(c2ccccc2)c2ccc(C(=O)O)cc2)cc1
A426,p,0.07,O=C(O)c1ccc(Sc2ccccc2)cc1
A2,p,0.23,O=C(O)c1ccc(Br)cc1
A497,p,-0.13,O=C(O)c1ccc(C23CC4CC(CC(C4)C2)C3)cc1
A106,p,0.86,O=C(O)c1ccc(S(=O)(=O)C(F)F)cc1
A121,p,0.08,O=C(O)c1ccc(OCCl)cc1
A114,p,0.33,O=C(O)c1ccc(-n2nnnc2O)cc1
A291,p,-0.26,CCNC(=O)Nc1ccc(C(=O)O)cc1
A327,p,0.27,O=C(O)c1ccc(N2C(=O)C=CC2=O)cc1
A515,p,0.01,O=C(O)c1ccc(CP(=O)(c2ccccc2)c2ccccc2)cc1
A110,p,0.26,O=C(O)c1ccc(C(I)I)cc1
A242,p,0.96,Cc1ccc(S(=O)(=O)S(C)(C)c2ccc(C(=O)O)cc2)cc1
A430,p,-0.13,CCc1ccc(-c2ccc(C(=O)O)cc2)o1
A32,p,0.78,O=C(O)c1ccc([N+](=O)[O-])cc1
A44,p,0.57,O=C(O)c1ccc(N[N+](=O)[O-])cc1
A349,p,-0.2,CC(C)(C)c1ccc(C(=O)O)cc1
A345,p,-0.14,O=C(O)c1ccc(C2CCC2)cc1
A340,p,0.37,O=C(O)c1ccc(-n2cccc2)cc1
A435,p,-0.16,CN(C)CCCCc1ccc(C(=O)O)cc1
A295,p,-0.17,CC(O)Cc1ccc(C(=O)O)cc1
A72,p,0.42,O=C(O)c1ccc([Hg]SC(F)(F)F)cc1
A467,p,0.51,O=C(O)c1ccc(/C=N/C(=O)c2ccccc2)cc1
A439,p,0,CC[Ge](CC)(CC)c1ccc(C(=O)O)cc1
A507,p,0.47,O=C(O)c1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1
A94,p,0.66,N#C[Se]c1ccc(C(=O)O)cc1
A194,p,-0.03,O=C(CCl)Nc1ccc(C(=O)O)cc1
A119,p,0.14,O=C(O)c1ccc(CBr)cc1
A346,p,0.47,CC(C)C(=O)c1ccc(C(=O)O)cc1
A216,p,0.34,CNC(=S)c1ccc(C(=O)O)cc1
A156,p,0.03,CS(=O)(=O)Nc1ccc(C(=O)O)cc1
A143,p,0,O=C(O)c1ccc(CO)cc1
A369,p,-0.21,C[Si](C)(C)Cc1ccc(C(=O)O)cc1
A505,p,0.53,O=C(O)c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1
A448,p,0.43,O=C(O)c1ccc(C(=O)c2ccccc2)cc1
A80,p,0.53,O=C(O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1
A527,p,0.1,O=C(O)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
A103,p,0.32,O=C(O)c1ccc(C(F)F)cc1
A431,p,0.38,Cc1ccc(C)n1-c1ccc(C(=O)O)cc1
A440,p,-0.01,C[N+](C)(C)CCCc1ccc(C(=O)O)cc1
A292,p,0.07,CCNC(=S)Nc1ccc(C(=O)O)cc1
A357,p,0.44,CC[As](=O)(CC)c1ccc(C(=O)O)cc1
A413,p,0.26,O=C(O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1
A24,p,0.69,O=C(O)c1ccc([Si](F)(F)F)cc1
A360,p,-0.72,CCN(CC)c1ccc(C(=O)O)cc1
A358,p,0.44,CC[As](=S)(CC)c1ccc(C(=O)O)cc1
A160,p,0.8,O=C(O)c1ccc(C(=O)C(F)(F)F)cc1
A78,p,0.96,O=C(O)c1ccc(S(=O)(=O)C(F)(F)F)cc1
A181,p,0.64,O=C(O)c1ccc(-n2nnnc2SS2=NN=NN2)cc1
A64,p,0.61,O=C(O)c1ccc(C(=O)Cl)cc1
A288,p,-0.15,CC(C)c1ccc(C(=O)O)cc1
A333,p,0.53,O=C(O)c1ccc(-c2ncccn2)cc1
A225,p,0.03,CCSc1ccc(C(=O)O)cc1
A322,p,0.54,O=C(O)c1ccc([Se]C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1
A297,p,0.07,CC(C)Sc1ccc(C(=O)O)cc1
A251,p,0.46,O=C(O)c1ccc(/C(F)=C(\F)C(F)(F)F)cc1
A305,p,0.13,CO[Si](OC)(OC)c1ccc(C(=O)O)cc1
A184,p,0.26,O=C(O)c1ccc([Se]/C=C/Cl)cc1
A73,p,1.35,O=C(O)c1ccc(I=NS(=O)(=O)C(F)(F)F)cc1
A383,p,0.03,CCOC(=O)/C=C/c1ccc(C(=O)O)cc1
A145,p,0.17,COSc1ccc(C(=O)O)cc1
A111,p,0.06,N#CNc1ccc(C(=O)O)cc1
A389,p,-0.15,CCCCCc1ccc(C(=O)O)cc1
A98,p,0.54,[N-]=[N+]=Nc1nnnn1-c1ccc(C(=O)O)cc1
A513,p,0.07,CN1c2ccccc2[As](c2ccc(C(=O)O)cc2)c2ccccc21
A93,p,0.52,N#CSc1ccc(C(=O)O)cc1
A215,p,0.12,CC(=S)Nc1ccc(C(=O)O)cc1
A172,p,0.83,O=C(O)c1ccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)cc1
A168,p,0.48,O=C(O)c1ccc(SC(F)(F)C(F)(F)F)cc1
A318,p,0.52,O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
A317,p,0.55,O=C(O)c1ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1
A102,p,0.26,O=C(O)c1ccc(OC(Cl)Cl)cc1
A79,p,1.21,O=C(O)c1ccc([Se](=O)(=O)C(F)(F)F)cc1
A294,p,-0.25,CCCOc1ccc(C(=O)O)cc1
A276,p,0.48,CCC(=O)c1ccc(C(=O)O)cc1
A466,p,0.16,O=C(O)c1ccc(C#Cc2ccccc2)cc1
A471,p,-0.54,COc1ccc(/C=N/c2ccc(C(=O)O)cc2)cc1
A23,p,0.8,O=C(O)c1ccc(S(F)(F)F)cc1
A375,p,0.98,N#CC(C#N)=C(C#N)c1ccc(C(=O)O)cc1
A262,p,0.52,N#CC(C#N)c1ccc(C(=O)O)cc1
A253,p,0.48,O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1
A461,p,0.16,O=C(O)c1ccc(CS(=O)(=O)c2ccccc2)cc1
A450,p,0.44,O=C(O)c1ccc(C(=O)Oc2ccccc2)cc1
A429,p,0.65,O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1
A158,p,0.57,O=C(O)c1ccc(N(C(=O)F)C(=O)F)cc1
A382,p,-0.05,O=C(O)c1ccc(C2=CCCC2)cc1
A320,p,0.58,O=C(O)c1ccc(SC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)cc1
A411,p,0.1,O=C(O)c1ccc(-c2ccc(I)cc2)cc1
A300,p,0.82,C[N+](C)(C)c1ccc(C(=O)O)cc1
A378,p,0.17,O=C(O)c1ccc(-c2ccccn2)cc1
A185,p,0.09,O=C(O)c1ccc(CC(F)(F)F)cc1
A30,p,0.78,O=C(O)c1ccc(I(=O)=O)cc1
A118,p,0.45,O=C(O)c1ccc(C(=O)O)cc1
A298,p,0.01,CN(C)Cc1ccc(C(=O)O)cc1
A366,p,0.44,C[N+](C)(C)Cc1ccc(C(=O)O)cc1
A449,p,0.13,O=C(O)c1ccc(OC(=O)c2ccccc2)cc1
A386,p,-0.05,CCCCOC(=O)Nc1ccc(C(=O)O)cc1
A308,p,0,C[Sn](C)(C)c1ccc(C(=O)O)cc1
A396,p,0.27,O=C(O)c1ccc(-c2c(F)c(F)c(F)c(F)c2F)cc1
A465,p,0.39,O=C(O)c1ccc(C(F)(F)C(F)(F)c2ccc(F)cc2)cc1
