ID,Type,Sigma,SMILES
B347,c,-0.48,O=C(O)c1ccc2c(c1)CCCC2
B339,m,0.06,O=C(O)c1cccc(-c2ccc[te]2)c1
B437,m,0.02,CC(C)P(c1cccc(C(=O)O)c1)C(C)C
A37,p,0.08,[N-]=[N+]=Nc1ccc(C(=O)O)cc1
A510,p,0.38,O=C(O)c1ccc(-c2cc(=O)c3c(ccc4ccccc43)o2)cc1
A54,p,0.42,O=C(O)c1ccc(P(=O)(O)O)cc1
A204,p,0.01,O=C(O)c1ccc(C2CS2)cc1
B59,m,-0.02,NNc1cccc(C(=O)O)c1
B234,m,0.47,CS(=O)(=O)N(c1cccc(C(=O)O)c1)S(C)(=O)=O
A402,p,0.3,O=C(O)c1ccc(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])cc1
B170,m,1.18,O=C(O)c1cccc(/S(=N/S(=O)(=O)C(F)(F)F)C(F)(F)F)c1
B174,m,0.82,N#CP(C#N)c1cccc(C(=O)O)c1
B3,m,0.66,O=C(O)c1cccc([Ge](Br)(Br)Br)c1
A53,p,0.6,NS(=O)(=O)c1ccc(C(=O)O)cc1
B233,m,0.51,CN(C)S(=O)(=O)c1cccc(C(=O)O)c1
B198,m,0.05,O=C(O)c1cccc(C2CO2)c1
A496,p,0.01,CC(C)(C)c1ccc(-c2ccc(C(=O)O)cc2)cc1
A107,p,0.37,O=C(O)c1ccc(SC(F)F)cc1
A367,p,0.14,C[NH+](C)CCc1ccc(C(=O)O)cc1
A478,p,0.7,Cc1ccc(S(=O)(=O)/N=S(\C)c2ccc(C(=O)O)cc2)cc1
B48,m,0.29,O=C(O)c1cccc(OP(=O)([O-])O)c1
B91,m,1.1,N#CS(=O)(=O)c1cccc(C(=O)O)c1
B250,m,0.41,O=C(O)c1cccc(C#CC(F)(F)F)c1
B351,m,-0.07,CC(C)Cc1cccc(C(=O)O)c1
A442,p,0.98,CC[P+](CC)(CC)c1ccc(C(=O)O)cc1
B427,m,-0.02,O=C(O)c1cccc(Nc2ccccc2)c1
B461,m,0.15,O=C(O)c1cccc(CS(=O)(=O)c2ccccc2)c1
B530,m,0.34,O=C(O)c1cccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)c1
B73,m,1.3,O=C(O)c1cccc(/I=N/S(=O)(=O)C(F)(F)F)c1
A419,p,0.39,O=C(O)c1ccc(N=Nc2ccccc2)cc1
A364,p,0.13,CCP(CC)c1ccc(C(=O)O)cc1
B280,m,0.19,C=CCSc1cccc(C(=O)O)c1
A258,p,0.51,O=C(O)c1ccc(SC(F)(C(F)(F)F)C(F)(F)F)cc1
B416,m,0.49,O=C(O)c1cccc(-n2nc3ccccc3n2)c1
A385,p,0.32,CC(C)(C)C(=O)c1ccc(C(=O)O)cc1
A285,p,-0.15,CCOC(=O)Nc1ccc(C(=O)O)cc1
A166,p,0.28,O=C(O)c1ccc(OC(F)(F)C(F)(F)F)cc1
A409,p,-0.1,O=C(O)c1ccc(Oc2ccc(F)cc2)cc1
A256,p,1.1,O=C(O)c1ccc(S(=O)(=O)C(F)(C(F)(F)F)C(F)(F)F)cc1
B507,m,0.29,O=C(O)c1cccc(P(=S)(c2ccccc2)c2ccccc2)c1
A212,p,0.36,CNC(=O)c1ccc(C(=O)O)cc1
A491,p,0.01,CC(C)c1ccc(-c2ccc(C(=O)O)cc2)cc1
A61,p,0.29,O=C(O)c1ccc(C(Br)(Br)Br)cc1
A502,p,0.64,O=C(O)c1ccc([As](=O)(c2ccccc2)c2ccccc2)cc1
A482,p,0.57,CCCCOP(=O)(OCCCC)c1ccc(C(=O)O)cc1
A279,p,-0.07,O=C(O)CCc1ccc(C(=O)O)cc1
B119,m,0.12,O=C(O)c1cccc(CBr)c1
A477,p,0.07,C[Si](C)(c1ccccc1)c1ccc(C(=O)O)cc1
A12,p,0.8,O=C(O)c1ccc(P(=S)(Cl)Cl)cc1
A159,p,0.52,O=C(O)c1ccc([Hg]OC(=O)C(F)(F)F)cc1
A126,p,0,O=CNc1ccc(C(=O)O)cc1
A275,p,-0.25,C=CCOc1ccc(C(=O)O)cc1
B195,m,0.46,CN(c1cccc(C(=O)O)c1)S(=O)(=O)C(F)(F)F
B506,m,0.11,O=C(O)c1cccc(P(c2ccccc2)c2ccccc2)c1
A339,p,0.03,O=C(O)c1ccc(-c2ccc[te]2)cc1
B116,m,0.3,O=C(O)c1cccc(Nc2nnns2)c1
A90,p,0.54,N#COc1ccc(C(=O)O)cc1
B394,m,0,C[Si](C)(C)O[Si](C)(C)c1cccc(C(=O)O)c1
A22,p,0.97,O=C(O)c1ccc([Ge](F)(F)F)cc1
B396,m,0.26,O=C(O)c1cccc(-c2c(F)c(F)c(F)c(F)c2F)c1
B350,m,-0.08,CCC(C)c1cccc(C(=O)O)c1
B6,m,0.33,O=C(O)c1cccc([Hg]Cl)c1
B334,m,0.28,O=C(O)c1cccc(-c2cncnc2)c1
B376,m,0.25,N#Cc1ccc(-c2cccc(C(=O)O)c2)o1
B371,m,0.18,CN(C)P(c1cccc(C(=O)O)c1)N(C)C
B74,m,0.56,O=C(O)c1cccc(/N=N/C(F)(F)F)c1
B332,m,0.3,O=C(O)c1cccc(-c2ccncn2)c1
B443,m,0,CC[Sn](CC)(CC)c1cccc(C(=O)O)c1
B114,m,0.39,O=C(O)c1cccc(-n2nnnc2O)c1
A122,p,0.11,O=C(O)c1ccc(CF)cc1
A415,p,0.6,O=C(O)c1ccc(S(=O)c2ccc([N+](=O)[O-])cc2)cc1
B409,m,-0.08,O=C(O)c1cccc(Oc2ccc(F)cc2)c1
B98,m,0.54,[N-]=[N+]=Nc1nnnn1-c1cccc(C(=O)O)c1
B216,m,0.3,CNC(=S)c1cccc(C(=O)O)c1
B61,m,0.28,O=C(O)c1cccc(C(Br)(Br)Br)c1
A71,p,0.32,O=C(O)c1ccc([Hg]C(F)(F)F)cc1
A189,p,0.18,N#CCc1ccc(C(=O)O)cc1
B51,m,-0.16,Nc1cccc(C(=O)O)c1
